"positive", "suasana nyaman ramah pelayanannya hotelnya bagus dan strategis"
"negative", "tidak sesuai dengan harapan saat check out terlalu diburu padahal kita tau waktuny kita check out kesannya kurang beretika trhdp tamu"
"positive", "bersih dan pelayanannya oks"
"negative", "tambahin colokan listrik di teras luar resto untuk charger hp laptop"
"positive", "bersih ma nyaman serta strategis tempat"
"positive", "lokasi strategis dan staff cukup ramah"
"negative", "bantal tidak nyaman tipis dan ada noda di sprei ac kamar tidak dingin spring bed keras makan pagi kurang enak dan pilihan menu hanya sedikit"
"positive", "menarik cukup bersih dan nyaman"
"positive", "nyaman asik adem mengasikan"
"positive", "menyenangkan anak anak suka karena banyak kolam renang dan taman"
"positive", "good hotel nyaman bersih ramah"
"positive", "menyenangkan alam yang asri dan banyak wahana nya ditambah dengan kolam rendam dimalam hari"
"negative", "biasa saja fasilitas untuk anak kurang"
"positive", "lokasi dekat trans studio kamarnya nyaman breakfast enak dan yang paling bagus adalah swimming pool air hangatnya yang dilengkapi dengan pasir putih sehingga anak anak sangat betah service dari seluruh staff juga sangat baik dan sangat membantu"
"positive", "pengalaman yang seru dan mamuaskan liburan bersama keluarga ditrans luxury hotel bandung terutama kolam renangnya yang begitu indah dan nyaman berpasir putih berbeda dengan hotel yang lainnya"
"positive", "mantab super sekali nyaris sempurna break fast nya tidak dicoba semua saking banyaknya tidak akan rugi dengan harga segitu"
"positive", "bagus sekali dan lokasi sangat strategis"
"positive", "nyaman banget untuk keluarga suasananya yang asri walaupun terletak dikawasan yang terkenal macetnya recommended deh"
"positive", "memuaskan untuk tempat dan fasilitasnya"
"negative", "menunya perlu diperbaiki terima kasih"
"positive", "lumayan buat istirahat and dekat ke kota"
"negative", "kamar tidak terlihat cling bersih berisik makanan td enak dan sedikit harga lumayan mhl"
"negative", "kamarnya bau rokok makanannya kurang bervariasi bubur ayamnya dingin"
"negative", "breakfast nya mengecewakan banget lama nunggu mau cek in biasa aja"
"positive", "pelayanan yang ramah dan sangat membantu"
"positive", "memuaskan dan pengen menginap lagi"
"positive", "tempat yang nyaman dan pelayanannya bagus recommended hotel"
"positive", "baguss ada mall dibawahh makanan mudah"
"positive", "bersih dan nyaman di kelas nya saya sangat rekomendasikan"
"negative", "saya menginap di ibis hotel sudah kali tetapi untuk menginap teeakhir servisnya mengecewakan"
"positive", "dekat dengan trans studio tsm masjid agung trans"
"positive", "pelayanan fasilitas dan kebersihan ok"
"positive", "very good cukup baik sekali luar biasa"
"positive", "lumayan nyaman menyenangkan kolam renang besar"
"positive", "sangat memuaskan kami sekeluarga menginap di hotel horison ultima bandung"
"negative", "kurang bersih ac kamar tidak dingin dan handuk datang telat hampir jam"
"positive", "lokasi strategis harga terjangkau sarapan nya enak enak"
"positive", "secara keseluruhan nyaman istirahat di hotel m premiere"
"positive", "nyaman strategis bersih dan ramah"
"positive", "lokasi makanan dan kebersihan bagus"
"positive", "hotel bagus mantap luar biasa"
"negative", "saya booking via traveloka yg saya pilih kamar premier kalau tidak salah dengan harga jt per malam yg kami lihat diweb tipe kamar tersebut dilantai atas dengan view lembah yang sangat indah setelah kami check in ternyata kami dapat kamar di lantai paling bawah dan nenurut saya jadi biasa saja"
"positive", "afternoon teanya berkesan breakfast sangat variatif dan enak enak kami akan menginap lagi di hotel padma apabila ke bandung very recommended"
"positive", "view yang cantik variant breakfast yang banyak"
"positive", "menyenangkan lokasi dekat mall dan makanannya enak next time kalau paling kemaleman lagi menginap disini makasih traveloka"
"positive", "enak bersih dekat mall dan murah"
"positive", "good mantap bagus enak murah berkualitas"
"positive", "bersih dan nyaman serta makanan dan layanan yang baik"
"positive", "selalu puas tidur disini makanan staff kamarnya semua memuaaskan"
"negative", "saluran pembuangan kamar mandi sebaikny dibersihkan agak sedikit berbau"
"positive", "kamar besar bersih makanan enak dan staffnya bersahabat banget saya akan kembali lagi"
"positive", "lobby reception luas ruangan kamar bersih harum dan nyaman buffet breakfast dengan pilihan makanan yang banyak dan enak akan bermalam lagi di sini saat mengunjungi bandung"
"positive", "disamping hotelnya bagus makannya enak udaranya sejuk dan dekat ke tempat wisata"
"positive", "lokasi strategis mudah kemana"
"positive", "pelayanan sangat memuaskan ramah tamah"
"positive", "mantap"
"positive", "pelayanan yang sangat memuaskan dan tidak mengecewakan terimakasih the papandayan"
"positive", "nyaman dan sesuai dengan kenyataan apa yang dideskripsikan dari app traveloka"
"positive", "recommended lah sama harga kamar segitu"
"positive", "lokasi yang sangat strategis dekat pusat perbelanjaan oleh pelayanan fasilitas yang memadai serta wifi hotelnya yang lancar"
"positive", "lokasi hotel strategis cocok untuk liburan"
"positive", "cukup baik dilihat dari segi lokasi dan pelayanan"
"negative", "fasilitas kamar tidak lengkap tidak sesuai dengan standar service room hotel saya menginap dengan teman tapi fasilitas kamar hanya untuk orang handuk cuma gelas cuma remote tv kadang berfungsi kadang tidak"
"negative", "lokasinya saja yang bagus debu di bawah kasurnya tebal sprei sarung bantal dan handuk sudah tidak putih lagi bau kamar lembab akibat ada kebicoran air dan plafon mau jatuh"
"negative", "pilihan bed sebaiknya diperbolehkan"
"positive", "luar biasa lokasi strategis harga terjangkau"
"positive", "puas ini kali ke menginap disini overall good"
"positive", "nyaman dan rooftopnya bagus untuk di daerah bandung"
"positive", "pengalaman yang sangat menyenangkan kamar kami di upgrade gratis kapan kapan nginap di regata hotel lagi"
"negative", "kamar mandinya agak bau bantal juga bau dan ada noda"
"negative", "agar lebih ditingkatkan pelayanannya"
"negative", "kalau bisa sarapannya lebih variatif lagi thanks"
"positive", "pelayanannya bagus sarapan enak bervariasi kolam renangnya bersih adventure parknya menyenangkan lain waktu akan balik lagi ke the valley"
"positive", "tempat yang nyaman untuk bersantai bersama keluarga"
"positive", "harga yang ddpt sebanding dengan fasilitas thanks the valley dan traveloka"
"positive", "kesan di awal pintu masuk kok ndeso bgt ekspektasi langsung berkurang tapi hanya awalnya aja pada saat ke kamar nyaman terutama ada lobby bisa liat liat view mountain jadi tenang bgt biasa rutinitas di kota besar tidak pernah liat gunung kebetulan pertama kali bawa rombongan kantor pada happy semua karena banyak permainan yang bisa dimainkan seru seruan dan ada driving range dan billiard juga sesuai dengan hobby pokok mantap bgt biasanya di hotel lain harga tinggi kamar dibuat nyaman kolam renang restoran dan pemandangan aja tapi ini harga masih reasonable fasilitas sangat banyak mantap sepertinya kalau liburan kebandung urutan pertama hotel yang bakal dikunjungi pasti the valley resort hotel good job thanks"
"positive", "bersih nyaman dan menyenangkan"
"positive", "hotelx sangat strategis dan mau kemana sangat mudah"
"positive", "memuaskan pelayanan cepat bersih"
"positive", "memuaskan bersih pelayanan cepat"
"positive", "ini kali kedua dan coba junior suite nya el cavana my favorite fasilitas gym dan kolam renang nya sangat menyenangkan breakfast at the rooftop like it"
"negative", "kolam renangnya air kotor kurang nyaman bawa anak anak liburan"
"positive", "bersih lokasi strategis nyaman"
"positive", "koridor kamarnya bagus bersih dan nyaman"
"positive", "best hotel recommended senang menginap dihotel ini harga yang cukup terjangkau dengan fasilitas bintang"
"positive", "kamarnya nyaman banget akses bandara sangat dekat pelayanannya pun ekstra ramah good job"
"positive", "not bad cocok buat anak muda"
"positive", "bersih nyaman dekat kemana mana"
"positive", "tingkatkan terus kebersihan dan keramahan hotel"
"negative", "kurang nyaman dengan harga nya"
"negative", "hotel tua dengan perabotan tua tdk bersih tidak dikelola dengan baik sangat kecewa"
"negative", "tidak di sediakan sandal tidak juga disediakan pemanas air"
"positive", "pelayanan ramah ke gedung merdeka braga dan alun alun tinggal jalan kaki sarapannya banyak pilihan dan enak buat liburan anak anak mau keliling kota bisa pake bandros bandung tour bus dari depan hotel saran agar pesan bandros sehari sebelumnya mantap deh"
"negative", "mendapatkan upgrade kamar dr deluxe ke executive krn kamar sdh tdk tersedia ada sedikit kesalahan dr hotel krn kamar pengganti ternyata sdh berpenghuni pdhal seharusnya sdh dipastikan lbh dahulu tp akhirnya diberikan kamar baru dekat dgn jln asia afrika shg terlalu berisik adahal tipe executive tp tdk kedap suara furnish terlihat antik dan sptnya perlu di perbaharui bathtub mulai kekuningan amenities blm selengkap tipe kamar yg sama tp di kls hotel di bawahnya wifi mati total sampai berkali kali diinfo ke petugas jawabanya ditunggu bsk unt perbaikan tdk tersedia haidryer makanan biasa saja rasanya tdk ada yg khas room service dan petugas yg mengangkat barang sangat membantu semoga preanger hotel bisa lbh meningkatkan kualitasnya lagi shg bs seperti dulu menjd salah satu hotel ternama di bdg"
"positive", "cukup nyaman tinggal dihotel ini dan sangat strategis dipusat kota"
"positive", "hotel dengan arsitektur cantik lokasi strategis pelayanan ramah dan menu makanan yg enak"
"positive", "amazing view mantap untuk istirahat"
"positive", "tempatnya oke tidak jauh dari pusat kota bahkan sangat dekat"
"negative", "saat kami kesana kolam renang sedang direnovasi kamar kurang terang seprai kurang bersih"
"negative", "kunci kamar tidak berfungsi dengan baik jadi setiap kali ingin masuk kamar harus lapor ke reception pinjam kartu atau pinjam kartu satpam untungnya saya late check in pada dini hari dan hanya menginap selama malam"
"positive", "hotel yang bagus terjangkau dan srategis"
"positive", "overall mantap merasa puas bisa stay di gino feruci braga"
"negative", "listrik dan penerangan perlu lebih diperhatikan"
"negative", "makanannya kurang variatif toiletries sama sendal cuma dpt buat org bed cover udah agak kuning ga enak diliat tp bersih sih agak susah setting air dingin pas mandi kemarin"
"positive", "fantastic great comfort dan terjangkau"
"positive", "sangat bagus untuk harga serendah itu pelayanan nya sangat memuaskan lokasi sangat strategis deket paskal bagus lah pokoknya"
"positive", "bagus strategis bersih mudah dijangkau"
"positive", "semuanya bagus nyaman dan kalau lapar ada buku menu tinggal pilih telpon lalu datang"
"positive", "lokasi strategis kamar nyaman"
"negative", "sarapannya kurang variatif dan sedikit kadang buahnya tidak kebagian"
"positive", "kebersihannya baik nyaman pasti siaran tv nya lengkap yang pasti sarapannya enak"
"positive", "pokoknya hotel ini recommended lah buat yang cari hotel di daerah kopo bandung"
"positive", "memuaskan terimakasih atas pelayanannya"
"positive", "hotelnya nyaman breakfastnya maknyus"
"positive", "hotel yang nyaman dan bersih banget suasana hotel yang tenang cocok buat istirahat dan bisnis"
"negative", "wifi cuma ada di lobby saja tolong tingkatkan dong supaya wifi bs di kamar"
"positive", "pelayanan baik fasilitas baik harga oke"
"positive", "liburan yang berkesan di hotel ini sangat memuaskan"
"negative", "pelayanan kurang ramah menunggu check in hotel sangat lama wifi tidak tersedia di vip room dan dikenakan biaya kembali apabila ingin menikmati fasilitas sementara tertera di web mendapatkan wifi gratis serta sarapan pagi yang kurang variatif untuk harga yang dibayarkan sangat mengecewakan"
"positive", "nyaman hotel nya bersih lokasi nya strategis"
"positive", "nyaman bagus deket sama bandara"
"positive", "bagus pelayanannya dekat dengan pusat oleh oleh"
"positive", "tempat nya ok banget yg terutama buat anak ku mereka nyaman dan senang"
"positive", "kamar yang bersih nyaman strategis service yang cepat bikin niat balik lg"
"positive", "tidak menyesal menginap disini mantap"
"negative", "pelayanan sedikit kurang memuaskan"
"positive", "baru kali ini saya menginap di hotel di dalam kamarnya disediakan sejadah mukena dan alquran lokasi strategis dekat dago gasibu dan yang pasti pas banget sebelahan dengan bebek ali pasti saya akan kembali lagi ke hotel ini"
"positive", "suka arsitekturnya lokasinya juga pas banget di dago jadi pas mau belanja dan makan di car free day tinggal jalan kaki"
"negative", "air panasnya ga panas dan air yg keluar dr keran air panas berwarna hitam dan berpasir seperti air got kapok"
"positive", "bagus dan sangat memuaskan karena ada karaoke nya"
"negative", "sangat disayangkan ac bocor tempat tidur terasa gatal gatal karpet berasa berdebu menempel dikaki makanan dengan hotel bintang tidak cocok banget tidak enak semua"
"positive", "hotel yang nyaman untuk keluarga"
"positive", "hotelnya bagus sesuai bintangnya bersih dan nyaman untuk liburan di bandung kamar luas dan stafnya ramah"
"positive", "hotelnya bersih lokasinya strategis breakfastnya bervasiasi dan enak dan anak dibawah tahun masih free hotel harris ini menjadi salah satu pilihan kami kalau ke bandung"
"positive", "murah dan enakk"
"positive", "nyaman dan strategis staff ramah"
"positive", "pelayanan serta kebersihan hotel sangat bagus"
"positive", "cukup buat liburan untuk sebuah hotel berbintang"
"positive", "hotel yang baik dan nyaman untuk liburan keluarga"
"negative", "seprei and sarung bantal di kamar executive bau apek sangat"
"positive", "lokasi strategis dekat dengan lembang suasananya juga adem ada arena bermain anak dan kolam renang kamarnya lumayan luas resepsionisnya ramah"
"negative", "yang tidak oke kamar mandinya terlalu banyak spot jadi agak geli"
"positive", "kamar yang unik lokasinya gampang"
"negative", "kamar kurang bersih dah banyak yang rusak karena bangunan dah terlalu lama jadi terkesan kusam dan kotor"
"positive", "layanan dan kamarnya bersih dan resepsionisnya cantik pisaannn"
"positive", "pelayanannya bagus dan cukup memuaskan"
"positive", "hotel lama dengan pemeliharaan yang baik recommended banget"
"positive", "memuaskan lokasi strategis dan tidak susah cari makan di lokasi dekat hotel"
"positive", "hotel yg nyaman dengan lokasi yg strategis memudahkan akses ke perguruan tinggi yg ada d bandung"
"positive", "lokasi bagus dekat ke supermarket kamar bersih dan sarapan lebih banyak variasi"
"positive", "recommended hotel siip lanjutkan"
"positive", "gampang keluar masuk tempat strategis"
"positive", "bagus pelayanan dan memuaskan semoga bisa di jaga terus kwalitasnya"
"negative", "tolong bagian kamar mandi yaitu wastafel diganti baru karena sudah mengelupas karena ini kamar lama"
"positive", "pelayanan baik makanan oke kebersihan oke"
"positive", "sangat nyaman pelayanan bagus fun"
"negative", "kamar pertama bau rokok dan jorok setelah itu pindah ke kamar berikutnya yang juga jorok dan akhirnya pindah ke kamar ketiga yang remote ac nya ga ada baterai"
"positive", "lingkungan terasa nyaman dan bersih"
"negative", "perlu dicek lagi untuk handuknya agak kurang nyaman"
"positive", "nice room nice service gak nyesel menginap disini"
"positive", "tempatnya strategis untuk backpacker ruangan kamar bersih dan nyaman"
"positive", "tempat strategis gampang cari makan"
"positive", "cukup memuaskan kebersihan pelayanan variasi sarapan letaknya cukup strategis"
"positive", "hotelnya bagus dan nyaman good"
"negative", "hanya satu yang kurang tempat parkir terlalu sempit"
"positive", "hotel dan pelayanannya bagus sangat memuaskan makanannya enak"
"positive", "hotelnya bagus dan sepadan dengan harganya"
"negative", "kamar tidak sesuai dengan pesanan"
"negative", "mungkin lebih ditingkatkan lagi untuk jenis sarapannya"
"negative", "wifinya tidak bisa connect acnya panas"
"positive", "tempat parkirnya cukup dan satpamnya sangat membantu dengan harga yang cukup sesuai dengan pelayanan yang didapatkan"
"positive", "nice service dan bagus hotelnya sesuai dengan foto yang ada"
"positive", "nice place utk yang nggak mau keramaian di bandung bisa kesini aj kolam renang besar dan nggak ramai"
"positive", "pemandangan hotel yang menyenangkan"
"negative", "kurang srek kamarnya dapat view kurang pas ah belum puas"
"negative", "kebersihan dan kerapihan kamar harus ditingkatkan"
"positive", "suasana modern yg memberikan kenyamanan"
"positive", "kami menginap untuk merayakan ulang tahun pernikahan kami terima kasih kepada managemen hotel yang memberikan kesan ramah helpfull serta kejutan menarik di kamar kami sarapan enak dan lengkap dan kolam renangnya yang hangat nilai plus banget terutama untuk di bandung terima kasih mercure setiabudi"
"positive", "kamar hotel bersih breakfast ok anak saya senang bisa berenang di kolam air hangatnya we will back soon"
"positive", "memuaskan pelayanan bagus ramah"
"negative", "kebersihan kurang air panas terlalu cepat dingin tempat sarapan sempit dn penuh orang"
"positive", "nyaman bersih dan bagus pelayanannya"
"negative", "jorok bed cover masih bau tidak ada tisu cuma ada kotak tisu"
"positive", "kami menginap untuk bulan madu suasana sangat asri di tambah pelayanan dari mulai fo yang ramah hingga breakfast yang baik sangat merekomendasi untuk liburan tenang"
"positive", "luar biasa tempatnya asik sejuk cocok buat holiday bersama keluarga"
"negative", "kebersihan kamar mandi agar di tingkatkan"
"positive", "tempatnya nyaman banget buat istirahat dari jenuhnya rutinitas sehari hari"
"positive", "lumayan lokasi strategis"
"negative", "tidak sesuai dengan ekspetasi tidak ada termos listrik tidak ada mini bar toilet bau handuk sudah dekil bantal sudah tidak enak dipakai kamar kurang bersih"
"positive", "nyaman tenang dingin santai dekat ke mana mana"
"positive", "nyaman dan tempat strategis kebersihan bagus"
"positive", "saya memesankan hotel ini untuk kolega saya berikut ini review dari kolega saya tsb semua staf hotel ramah kebersihan lokasi kenyamanan dan makanannya bagus"
"positive", "walaupun cuma numpang tidur malem doang tapi enak kok apalagi kolamnya juga bagus buat foto"
"negative", "tempat tidur miring ke kiri dan ruangan kotor saya sampaikan ke pihak fo padahal saya sudah kali menginap semakin kesini semakin tidak baik pelayanannya"
"negative", " hari di vio hotel veteran tidak ganti handuk stock handuk terbatas"
"positive", "sangat memuaskan dan nyaman"
"negative", "kamar diberikan yang depan sekali lift sangat berisik dan kamar ac membeku rusak bgtu minta ganti kamar ktanya tidak ada lagi breakfast tidak ada rasa"
"positive", "reseptionist nya helpfull kamar bersih dan ok harga sesuai kalau promo lebih ok"
"negative", "sewaktu check in pelayan hotel kurang tidak ada ramah tamahnya"
"positive", "kamarnya sangat nyaman dan bersih pelayanannya ramah dan makanannya enak"
"negative", "utk kamar mandi agak berisik dr lantai atas"
"positive", "hotelnya bersih ramah fasilitas untuk bintang bagus ada free extra bed breakfast tidak strict ekonomis recommended deh untuk stay rame"
"negative", "lokasinya tidak strategis room yg ditawarkan tidak sesuai kamar tidak bersih"
"negative", "hotel ini menipu kami kami memilih dan booked kamar type business room pd thl november akan tetapi kami diberikan tinggal dikamat deluxe room ini kami ketahui ketika sata ckeckout dan menanyakan kpd petugas front office apa perbedaan business dan deluxe room dia bilang perbedaan hanya di lantai utk business berkarpet sdgkan deluxe tidak lalu saya menanyakan kamar yg kami tinggal semalam tanpa karpet dan dia lsg cek nomor kamar kami dan betul staff itu mengiyakan kami diberikan kamar hanya deluxe bukan business room kami komplen dan maksud nya apa ini membohongi tamu kami meminta refund selisih kamar dan mereka bilang tdk bisa hanya permohonan maaf sj yg kami dapat kami sangat kecewa bukan krn nilai rupiah yg tdk seberapa itu tp kami kecewa hotel ini sudah membongi kami dan menipu besar besaran tidak recommended hotel berhati jika menginap disini banyak jebakan krn bisa jd mereka bs menjual kamar kita diover ketamu lain spy dpt untung lebih ohya ada keluhan kami lainnya yaitu bantal kusam dekil kalau dibuka sarungnya itu bantal sudah kumuh banyakcoklat flek jijik sekali dan kain sarung bantal sobek saya sampe foto sbg barang bukti wifi parah putus nyambung dan lambaaaaat bad hotel"
"positive", "proses cek in cepat kamar luas dan bersih sarapan enak lokasi strategis"
"positive", "nyaman di rekomendasikan baik untuk bisnis atau liburan"
"negative", "pelayanan sangat mengecewakan apalagi di bagian reception cewe yang sombong dan sok tau tas customer tidak di tawarkan untuk di bawa di biarkan customer untuk naik lift sendiri mencari kamar yang di pesan saya kapok untuk menginap lagi di hotel tersebut thx traveloka"
"positive", "keren asik bersih luas lagi"
"negative", "hotelnya pelayanan kurang baik"
"positive", "pelayanannya memuaskan makanannya juga enak lokasi strategis karena jarak tempuh untuk ke lembang tidak jauh recommended"
"positive", "permintaan ke pihak hotel cepat ditanggapi semua baik"
"positive", "suasana nyaman bersih lokasi deket lembang dan kota bandung pelayanan ramah sarapannya bnyk pilihan ada kolam renang dan playground jd anak betah di hotel makasih traveloka banana inn"
"positive", "nyaman dan mau kemana mana dekat"
"negative", "handuknya jelek dan kasar jadi terasa gilani"
"positive", "nanti saya kalau menginap kesana lagi"
"negative", "sudah enak namun kemarin lokasi kamar yang saya pesan berjauhan"
"positive", "memuaskan sekali posisinya pas tidak jauh dari bandara"
"positive", "hotelnya nyaman sekali breakfastnya juga enak dan cukup banyak variannya lokasi strategis dan pas buat keluarga dengan anak kecil seperti saya"
"positive", "kamarnya bersih nyaman makanan juga cukup enak bikin betah"
"positive", "terima kasih pelayanan memuaskan"
"positive", "lokasi di pusat kota mau cari apapun mudah fasilitas hotel lumayan"
"positive", "cukup baik dengan fasilitas standar hotel berbintang"
"positive", "letak hotel dekat kemana mana cukup strategis"
"positive", "secara umum ok letaknya strategis"
"positive", "saya ingin menginap kembali di hotel santika bandung"
"negative", "breakfastnya kurang bervariasi"
"positive", "pelayanan oke kamar dan kamar mandi bersih sesuai dengan harga sarapan juga oke mungkin akan menginap lagi disana kalau berkunjung ke bandung"
"positive", "kamarnya sangat nyaman dan bersih kamar mandi luas dan bersih breakfast lumayan enak lokasi sangat mudah diketahui dekat dengan tempat shopping misal ke bip heritage dan factory outlet lainnya bisa dijangkau dengan jalan kaki bisa juga naik angkot tempat makan diluar dekat misal nasi bancakan sangat recommended tempatnya kalau ada waktu liburan ke bandung lagi saya pasti hotel ini lagi"
"negative", "hari kedua menginap ac rusak dan remote tv rusak dan akhirnya saya pindah kamar break fast sangat standar dan tidak ada rasa"
"positive", "semua pelayanan memuaskan fasilitas lengkap"
"positive", "kamar bersih suasana lumayan bagus cukup buat yang punya bugdet tipis menginap disini"
"negative", "kasurnya bau apek kamar mandi sangat kecil dan sempit ruang kamar udaranya kurang enak kursi yang ada di dalam kamar lebih baik diganti karena sangat kotor merusak pemandangan"
"negative", "kamarnya biasanya bersih nah pas kebetulan saya menginap ada bekas bulu mata palsu masih menempel di cermin jadi kotor lalu sarapan pagi jam pagi sudah pada habis dan makanannya kurang enak"
"positive", "ok banget dan recommend suasana nyaman dan sejuk"
"positive", "hotel ini seharusnya bukan bintang tp lgsg ke terlalu bagus dlm segala hal terima kasih verona palace dan traveloka"
"positive", "hotelny bagus pelayanan memuaskan roomnya besar bagus dan bersih untuk harga bagus"
"positive", "bersih dan nyaman sangat memuaskan"
"negative", "untuk standar hotel bintang sayang sekali air panas tidak jam akses lift hanya dan kecil"
"negative", "untuk sekelas nya termasuk mahal"
"positive", "nice bagus tempatnya nyaman bersih"
"positive", "bagus pelayanannya baik suka"
"negative", "makanan tidak variatif dan tidak enak lift seringkali rusak ac bermasalah"
"positive", "tempatnya cukup nyaman dan kemana dekat"
"negative", "kamar mandi ada banyak rambut berserakan untuk yang lain sih ok permasalahannya deluxe yang dulu sama yang sekarang berbeda yah apakah yang saya tempati deluxe room"
"negative", "biasa saja makanan biasa tidak banyak pilihan"
"positive", "bagus pelayanan oke dan selalu ramah dengan pengunjung"
"positive", "service keseluruhan lumayan bagus"
"positive", "sangat memuaskan untuk semua aspek"
"positive", "lokasinya yang strategis dengan pusat wisata bandung dan harga yang ekonomis"
"positive", "murah pelayanan baik semua tipe kamar dapat sarapan memuaskan"
"positive", "lumayan nyaman lah lainkali mampir lagi"
"positive", "nyaman sesuai dengan kelasnya"
"positive", "untuk kamar kebersihan lumayan bersih pelayanannya bagus pokoknya dipertahankan aja"
"positive", "hotel yang sangat mantap apalagi ditambah hujan trus menambah suasana menjadi semakin perfect"
"positive", "bersih dan banyak permainan untuk anak"
"positive", "kamar bersih lokasi ok pelayanan ok"
"positive", "cukup nyaman tetapi kamarnya kecil"
"negative", "makanan breakfastnya dingin sama bumbunya kurang berasa untuk yg lain nya bagus"
"positive", "secara total hotel cukup bagus"
"positive", "ternyaman keempat kalinya menginap disini"
"negative", "untuk sarapan di tambah lagi menu makanan nya"
"positive", "lokasinya strategis sarapannya bervariasi dan rasanya semuanya enak"
"positive", "lokasi strategis harga terjangkau fasilitas lengkap makanan baik"
"positive", "sangat memuaskan nyaman enak untuk istirahat lokasi strategis"
"positive", "kedua kali setelah tahun menginap disini banyak perubahan terutama adanya fasilitas kolam renang memuaskan menginap di sini pelayanan yang baik lokasi yang terbilang strategis nyaman dan tergolong bersih untuk lingkungan maupun room nya hanya seingat saya sepertinya menu sarapan lebih bervariasi sewaktu menginap disini pertama kali dibandingkan dengan sekarang sukses terus patra jasa hotel bandung"
"positive", "lumayan bagus dan sangat bersih"
"positive", "bersih tenang dan nyaman"
"positive", "lokasinya strategis walaupun tidak di jalan besar tapi dekat ke pusat kota"
"negative", "makanannya kurang banyak pilihan menunya"
"positive", "pelayanan ramah breaksfast tidak mengecewakan"
"positive", "nyaman selama tidur di hotel ini pelayanannya sangat memuaskan dr pertama masuk hingga pulang dengan harga murah di tambah kode promo dr traveloka super memuaskan"
"positive", "bersih nyaman staf ramah parkir luas"
"positive", "memuaskan untuk berlibur bersama keluarga"
"positive", "memuaskan ingin menginap di sini lagi"
"positive", "sangat nyaman dan bersih hotel nya"
"positive", "hotel yang menyenangkan kamar bersih dan lega sarapan pagi enak liburan jadi menyenangkan"
"positive", "saya menginap selama dua hari di hotel nopember kebersihan baik pelayanan memuaskan kenyamanan baik makanan banyak variasinya semoga dapat dipertahankan kalau boleh lebih ditingkatkan"
"negative", "agar sering diberaihkan karena kamar kami saat datang dalam kondisi banyak debu dan bau apek wifi selalu error tv hanya ada tv lokal heater pot untuk minum sudah karatan sisanya ok"
"negative", "alamnya kurang dirawat danaunya coklat banyak nyamuk walaupun sejuk tapi tetap harus ada ac kamar luas memuaskan kamar mandi memuaskan pelayanan lumayan cepat sarapan pagi menu terlalu sedikit rasa makanan standart"
"negative", "tidak sesuai apa yang d bayangkan pas tidur bantal bau kirain aroma kemenyan haduh kamar ada kodok tambah lagi makanan kurang enak tidak recommended banget mudah mudahan untuk kedepannya lebih baik lagi ya sapuludi untuk suasana okelah"
"positive", "semua sudut hotelnya artistik breakfast di rooftop juga asik banget"
